-2 -1 -1 00
0 0 0 0 0 1
0 82 3 57.6 67 1 0
1 82 3 57.9 67 1 0
2 82 3 81.3 67 1 0
3 82 2 85 67 1 0
4 82 3 78.6 67 1 0
5 82 3 68.3 67 1 0
6 82 2 87.1 67 1 0
7 82 3 62.5 67 1 0
8 82 2 81.8 67 1 0
9 82 3 77.8 67 1 0
83 0 0 0 0 0
0 83 3 85.5 67 1 0
1 83 3 73 67 1 0
2 83 3 75.8 67 1 0
3 83 3 67.6 67 1 0
4 83 3 71 67 1 0
5 83 2 78.8 67 1 0
6 83 2 75.1 67 1 0
7 83 3 62.2 67 1 0
8 83 3 62 67 1 0
9 83 3 62.3 67 1 0
84 0 0 0 0 0
0 84 3 78 67 1 0
1 84 2 68.2 67 1 0
2 84 2 67.6 67 1 0
3 84 2 73.3 67 1 0
4 84 2 83.9 67 1 0
5 84 3 64.5 67 1 0
6 84 3 78 67 1 0
7 84 3 87.9 67 1 0
8 84 3 68.1 67 1 0
9 84 2 75.1 67 1 0
85 0 0 0 0 1
0 85 1 69.1 67 1 0
1 85 1 79.7 67 1 0
2 85 1 66.4 67 1 0
3 85 1 72.1 67 1 0
4 85 1 62.6 67 1 0
5 85 1 77.7 67 1 0
6 85 1 90.2 67 1 0
7 85 1 84.4 67 1 0
8 85 1 82.3 67 1 0
9 85 2 127 157 1 0
86 0 0 0 0 0
0 86 2 75.3 67 1 0
1 86 3 76.1 67 1 0
2 86 3 84.9 67 1 0
3 86 3 69 67 1 0
4 86 3 70.1 67 1 0
5 86 3 69.4 67 1 0
6 86 3 80.5 67 1 0
7 86 3 85.1 67 1 0
8 86 3 68.7 67 1 0
9 86 2 77.4 67 1 0
87 0 0 0 0 0
0 87 2 74.9 67 1 0
1 87 3 78.8 67 1 0
2 87 3 75.3 67 1 0
3 87 2 82 67 1 0
4 87 2 68.9 67 1 0
5 87 2 61.1 67 1 0
6 87 2 82.4 67 1 0
7 87 3 63.1 67 1 0
8 87 3 93.9 67 1 0
9 87 2 80.9 67 1 0
88 0 0 0 0 0
0 88 2 120.1 157 1 0
1 88 3 73.7 67 1 0
2 88 3 62.9 67 1 0
3 88 3 77.3 67 1 0
4 88 2 81.3 67 1 0
5 88 2 83.5 67 1 0
6 88 2 56.1 67 1 0
7 88 3 78.2 67 1 0
8 88 3 84.3 67 1 0
9 88 2 55.8 67 1 0
89 0 0 0 0 0
0 89 2 59.7 67 1 0
1 89 2 82.1 67 1 0
2 89 3 66.7 67 1 0
3 89 3 69.9 67 1 0
4 89 2 65.2 67 1 0
5 89 3 74.1 67 1 0
6 89 2 54.7 67 1 0
7 89 2 58.3 67 1 0
8 89 2 61 67 1 0
9 89 3 79.1 67 1 0
90 0 0 0 0 1
0 90 1 83.2 67 1 0
1 90 1 70.2 67 1 0
2 90 1 64.3 67 1 0
3 90 1 57.1 67 1 0
4 90 1 75.5 67 1 0
5 90 1 63.3 67 1 0
6 90 1 73.7 67 1 0
7 90 1 64.8 67 1 0
8 90 1 68.6 67 1 0
9 90 1 84.1 67 1 0
91 0 0 0 0 0
0 91 3 62.8 67 1 0
1 91 2 79.1 67 1 0
2 91 2 71.2 67 1 0
3 91 3 61.6 67 1 0
4 91 3 67.6 67 1 0
5 91 3 69.3 67 1 0
6 91 2 68.4 67 1 0
7 91 3 65.7 67 1 0
8 91 2 72.1 67 1 0
9 91 2 63.2 67 1 0
92 0 0 0 0 0
0 92 3 59.6 67 1 0
1 92 2 58.5 67 1 0
2 92 2 124.6 157 1 0
3 92 3 67.6 67 1 0
4 92 3 80.5 67 1 0
5 92 3 64 67 1 0
6 92 3 55.7 67 1 0
7 92 2 69.9 67 1 0
8 92 2 71 67 1 0
9 92 2 60.3 67 1 0
93 0 0 0 0 0
0 93 3 68.2 67 1 0
1 93 2 89.2 67 1 0
2 93 3 59.8 67 1 0
3 93 2 64.9 67 1 0
4 93 2 55.4 67 1 0
5 93 3 58.3 67 1 0
6 93 3 80.2 67 1 0
7 93 3 78.2 67 1 0
8 93 2 63 67 1 0
9 93 2 60.8 67 1 0
94 0 0 0 0 0
0 94 3 72 67 1 0
1 94 3 86.5 67 1 0
2 94 2 61.2 67 1 0
3 94 2 60.4 67 1 0
4 94 2 70.3 67 1 0
5 94 3 88.4 67 1 0
6 94 3 74.9 67 1 0
7 94 3 63.2 67 1 0
8 94 2 79.6 67 1 0
9 94 3 82.6 67 1 0
95 0 0 0 0 0
0 95 3 67.3 67 1 0
1 95 3 108.6 157 1 0
2 95 3 73.5 67 1 0
3 95 3 60.6 67 1 0
4 95 3 76.8 67 1 0
5 95 3 86.8 67 1 0
6 95 2 58.4 67 1 0
7 95 2 64 67 1 0
8 95 2 68.2 67 1 0
9 95 3 67.5 67 1 0
96 0 0 0 0 0
0 96 2 74.7 67 1 0
1 96 3 81.6 67 1 0
2 96 3 81 67 1 0
3 96 2 70.3 67 1 0
4 96 1 122.5 157 1 0
5 96 2 76.6 67 1 0
6 96 2 75.5 67 1 0
7 96 2 65.6 67 1 0
8 96 2 65.8 67 1 0
9 96 3 86 67 1 0
97 0 0 0 0 1
0 97 1 76.7 67 1 0
1 97 1 60.8 67 1 0
2 97 1 78.4 67 1 0
3 97 1 56.4 67 1 0
4 97 1 74.1 67 1 0
5 97 1 75.2 67 1 0
6 97 1 81.2 67 1 0
7 97 1 84.7 67 1 0
8 97 1 87.8 67 1 0
9 97 1 76.5 67 1 0
98 0 0 0 0 0
0 98 3 66.3 67 1 0
1 98 2 83 67 1 0
2 98 2 55.1 67 1 0
3 98 3 73.7 67 1 0
4 98 3 68.8 67 1 0
5 98 2 84.5 67 1 0
6 98 2 69.4 67 1 0
7 98 3 76.8 67 1 0
8 98 2 70.2 67 1 0
9 98 2 80.2 67 1 0
99 0 0 0 0 1
0 99 1 89.4 67 1 0
1 99 1 73.7 67 1 0
2 99 1 68.2 67 1 0
3 99 1 85.1 67 1 0
4 99 1 90.7 67 1 0
5 99 1 71.4 67 1 0
6 99 1 86.3 67 1 0
7 99 1 79.6 67 1 0
8 99 1 76.4 67 1 0
9 99 1 61.1 67 1 0
